week,producer_code,product_id,quantity.x,cost.x,price.x,quantity.y,cost.y,price.y,undelivered,unplanned,discrepancy
2021-06-06,CHO,3266,5,28.8,NA,NA,NA,NA,1,0,NA
2021-06-06,CVP,3266,5,28.8,NA,NA,NA,NA,1,0,NA
2021-06-06,HAF,3266,5,28.8,NA,NA,NA,NA,1,0,NA
2021-06-06,KLF,3278,8,33.75,NA,NA,NA,NA,1,0,NA
2021-06-06,NTN,3266,6,28.8,NA,NA,NA,NA,1,0,NA
2021-06-06,NTN,3813,15,36,NA,NA,NA,NA,1,0,NA
2021-06-06,POG,3806,38,36,NA,19,36,39.96,0,0,-0.5
2021-06-06,SGC,3266,5,28.8,NA,NA,NA,NA,1,0,NA
2021-06-06,YMF,3266,12,28.8,NA,NA,NA,NA,1,0,NA
2021-06-06,YMF,3806,38,36,NA,NA,NA,NA,1,0,NA
2021-06-13,CHO,3278,30,33.75,NA,82,33.75,37.46,0,0,1.7333333333333334
2021-06-13,CVP,3266,5,28.8,NA,5,28.8,31.97,0,0,0
2021-06-13,DTF,3806,15,36,NA,NA,NA,NA,1,0,NA
2021-06-13,HAF,3266,6,28.8,NA,6,28.8,31.97,0,0,0
2021-06-13,KLF,3278,10,33.75,NA,10,33.75,37.46,0,0,0
2021-06-13,NTN,3266,11,28.8,NA,39,28.8,31.97,0,0,2.5454545454545454
2021-06-13,POG,3775,36,30,NA,NA,NA,NA,1,0,NA
2021-06-13,SEE,3304,38,48,NA,NA,NA,NA,1,0,NA
2021-06-13,SGC,3266,5,28.8,NA,5,28.8,31.97,0,0,0
2021-06-13,WKH,3806,5,36,NA,5,36,39.96,0,0,0
2021-06-13,YMF,3266,11,28.8,NA,11,28.8,31.97,0,0,0
2021-06-13,YMF,3813,38,36,NA,24,36,39.96,0,0,-0.3684210526315789
2021-06-20,CBS,3278,10,33.75,NA,10,33.75,37.46,0,0,0
2021-06-20,CHO,3266,5,28.8,NA,5,28.8,31.97,0,0,0
2021-06-20,CHO,3806,15,36,NA,NA,NA,NA,1,0,NA
2021-06-20,CVP,3266,5,28.8,NA,5,28.8,31.97,0,0,0
2021-06-20,D2D,3278,5,33.75,NA,5,33.75,37.46,0,0,0
2021-06-20,DTF,3806,15,36,NA,NA,NA,NA,1,0,NA
2021-06-20,HAF,3266,5,28.8,NA,5,28.8,31.97,0,0,0
2021-06-20,HAF,3806,10,36,NA,17,36,39.96,0,0,0.7
2021-06-20,KLF,3278,10,33.75,NA,10,33.75,37.46,0,0,0
2021-06-20,MHG,3278,5,33.75,NA,NA,NA,NA,1,0,NA
2021-06-20,NTN,3266,7,28.8,NA,NA,NA,NA,1,0,NA
2021-06-20,PBY,3573,30,40,NA,NA,NA,NA,1,0,NA
2021-06-20,POG,3669,38,36,NA,38,36,39.96,0,0,0
2021-06-20,SGC,3266,5,28.8,NA,5,28.8,31.97,0,0,0
2021-06-20,WKH,3573,10,40,NA,10,40,44.4,0,0,0
2021-06-20,WKH,3806,18,36,NA,18,36,39.96,0,0,0
2021-06-20,YMF,3266,11,28.8,NA,NA,NA,NA,1,0,NA
2021-06-20,YMF,3806,38,36,NA,15,36,39.96,0,0,-0.6052631578947368
2021-06-27,CBS,3278,15,33.75,NA,10,33.75,37.46,0,0,-0.3333333333333333
2021-06-27,CHO,3266,5,28.8,NA,NA,NA,NA,1,0,NA
2021-06-27,CHO,3278,30,33.75,NA,NA,NA,NA,1,0,NA
2021-06-27,CHO,3806,15,36,NA,NA,NA,NA,1,0,NA
2021-06-27,CVP,3266,5,28.8,NA,5,28.8,31.97,0,0,0
2021-06-27,D2D,3278,5,33.75,NA,9,33.75,37.46,0,0,0.8
2021-06-27,DTF,3806,15,36,NA,NA,NA,NA,1,0,NA
2021-06-27,HAF,3266,7,28.8,NA,7,28.8,31.97,0,0,0
2021-06-27,KLF,3278,5,33.75,NA,5,33.75,37.46,0,0,0
2021-06-27,MHG,3278,7,33.75,NA,NA,NA,NA,1,0,NA
2021-06-27,NTN,3266,5,28.8,NA,5,28.8,31.97,0,0,0
2021-06-27,POG,3806,38,36,NA,NA,NA,NA,1,0,NA
2021-06-27,SEE,NA,19,36,NA,NA,NA,NA,1,0,NA
2021-06-27,SGC,3266,5,28.8,NA,5,28.8,31.97,0,0,0
2021-06-27,WKH,3278,8,33.75,NA,NA,NA,NA,1,0,NA
2021-06-27,WKH,3573,45,40,NA,NA,NA,NA,1,0,NA
2021-06-27,WKH,3806,15,36,NA,NA,NA,NA,1,0,NA
2021-06-27,YMF,3216,36,60,NA,NA,NA,NA,1,0,NA
2021-06-27,YMF,3266,11,28.8,NA,11,28.8,31.97,0,0,0
2021-06-27,YMF,3806,5,36,NA,NA,NA,NA,1,0,NA
2021-07-04,CBS,3278,20,33.75,NA,5,33.75,37.46,0,0,-0.75
2021-07-04,CHO,3266,11,28.8,NA,NA,NA,NA,1,0,NA
2021-07-04,CHO,3806,15,36,NA,NA,NA,NA,1,0,NA
2021-07-04,CVP,3266,11,28.8,NA,11,28.8,31.97,0,0,0
2021-07-04,D2D,3278,5,33.75,NA,NA,NA,NA,1,0,NA
2021-07-04,DTF,3806,15,36,NA,NA,NA,NA,1,0,NA
2021-07-04,HAF,3266,11,28.8,NA,11,28.8,31.97,0,0,0
2021-07-04,HAF,3806,10,36,NA,10,36,39.96,0,0,0
2021-07-04,KLF,3278,8,33.75,NA,8,33.75,37.46,0,0,0
2021-07-04,LXF,3361,30,20,NA,NA,NA,NA,1,0,NA
2021-07-04,MHG,3278,5,33.75,NA,NA,NA,NA,1,0,NA
2021-07-04,NTN,3266,11,28.8,NA,11,28.8,31.97,0,0,0
2021-07-04,SEE,3326,38,42,NA,30,42,46.62,0,0,-0.21052631578947367
2021-07-04,SGC,3266,11,28.8,NA,11,28.8,31.97,0,0,0
2021-07-04,WKH,3361,15,20,NA,NA,NA,NA,1,0,NA
2021-07-04,WKH,3806,18,36,NA,NA,NA,NA,1,0,NA
2021-07-04,YMF,3099,75,36,NA,NA,NA,NA,1,0,NA
2021-07-04,YMF,3266,11,28.8,NA,NA,NA,NA,1,0,NA
2021-07-04,YMF,3401,18,62.5,NA,NA,NA,NA,1,0,NA
2021-07-04,YMF,3775,18,30,NA,15,30,33.3,0,0,-0.16666666666666666
2021-07-04,YMF,3806,15,36,NA,NA,NA,NA,1,0,NA
2021-07-11,AFC,3138,5,36,NA,3,36,39.96,0,0,-0.4
2021-07-11,AFC,3184,6,20,NA,3,20,22.2,0,0,-0.5
2021-07-11,CBS,3278,20,33.75,NA,NA,NA,NA,1,0,NA
2021-07-11,CBS,3361,30,20,NA,NA,NA,NA,1,0,NA
2021-07-11,CHO,3361,30,20,NA,NA,NA,NA,1,0,NA
2021-07-11,CLP,3361,6,20,NA,NA,NA,NA,1,0,NA
2021-07-11,D2D,3138,10,36,NA,10,36,39.96,0,0,0
2021-07-11,D2D,3184,30,20,NA,9,20,22.2,0,0,-0.7
2021-07-11,D2D,3278,5,33.75,NA,5,33.75,37.46,0,0,0
2021-07-11,HAF,3138,38,36,NA,38,36,39.96,0,0,0
2021-07-11,HAF,3278,10,33.75,NA,3,33.75,37.46,0,0,-0.7
2021-07-11,HAF,3361,38,20,NA,13,20,22.2,0,0,-0.6578947368421053
2021-07-11,KLF,3278,20,33.75,NA,24,33.75,37.46,0,0,0.2
2021-07-11,LXF,3184,30,20,NA,55,20,22.2,0,0,0.8333333333333334
2021-07-11,MHG,3184,30,20,NA,NA,NA,NA,1,0,NA
2021-07-11,MHG,3278,5,33.75,NA,NA,NA,NA,1,0,NA
2021-07-11,MHG,3361,30,20,NA,NA,NA,NA,1,0,NA
2021-07-11,MLG,3138,10,36,NA,7,36,39.96,0,0,-0.3
2021-07-11,SEE,3202,23,40,NA,NA,NA,NA,1,0,NA
2021-07-11,SGC,3184,6,20,NA,20,20,22.2,0,0,2.3333333333333335
2021-07-11,SGC,3361,6,20,NA,15,20,22.2,0,0,1.5
2021-07-11,WKH,3184,30,20,NA,NA,NA,NA,1,0,NA
2021-07-11,WKH,3361,30,20,NA,NA,NA,NA,1,0,NA
2021-07-18,AFC,3184,6,20,NA,3,20,22.2,0,0,-0.5
2021-07-18,CBS,3278,20,33.75,NA,4,33.75,37.46,0,0,-0.8
2021-07-18,CBS,3361,30,20,NA,7,20,22.2,0,0,-0.7666666666666667
2021-07-18,CHO,3361,30,20,NA,NA,NA,NA,1,0,NA
2021-07-18,CHO,3754,10,34,NA,NA,NA,NA,1,0,NA
2021-07-18,CHO,3813,10,36,NA,NA,NA,NA,1,0,NA
2021-07-18,CLP,3361,6,20,NA,12,20,22.2,0,0,1
2021-07-18,CLP,3813,10,36,NA,10,36,39.96,0,0,0
2021-07-18,D2D,3184,30,20,NA,9,20,22.2,0,0,-0.7
2021-07-18,D2D,3278,5,33.75,NA,2,33.75,37.46,0,0,-0.6
2021-07-18,D2D,3813,10,36,NA,14,36,39.96,0,0,0.4
2021-07-18,HAF,3364,38,36,NA,NA,NA,NA,1,0,NA
2021-07-18,KLF,3278,20,33.75,NA,26,33.75,37.46,0,0,0.3
2021-07-18,LXF,3184,30,20,NA,50,20,22.2,0,0,0.6666666666666666
2021-07-18,LXF,3361,30,20,NA,NA,NA,NA,1,0,NA
2021-07-18,MHG,3184,30,20,NA,NA,NA,NA,1,0,NA
2021-07-18,MHG,3278,5,33.75,NA,NA,NA,NA,1,0,NA
2021-07-18,MHG,3361,30,20,NA,NA,NA,NA,1,0,NA
2021-07-18,NTN,3813,10,36,NA,30,36,39.96,0,0,2
2021-07-18,PLT,3813,10,36,NA,10,36,39.96,0,0,0
2021-07-18,SEE,3202,23,40,NA,40,34,37.74,0,0,0.7391304347826086
